case_id	case_tree	num_mutations
window1:107_98_13_17	(Sample2:3.00000,(Sample3:6.00000,Sample4:12.00000):16.00000,Sample1:2.00000);	33
window1:107_94_22_19	(Sample2:0.00000,(Sample3:7.00000,Sample4:8.00000):15.00000,Sample1:0.00000);	26
window1:107_91_54_62	(Sample2:2.00000,(Sample3:3.00000,Sample4:3.00000):12.00000,Sample1:8.00000);	24
window1:107_92_5_47	(Sample2:0.00000,(Sample3:19.00000,Sample4:5.00000):15.00000,Sample1:0.00000);	33
window1:107_93_38_23	(Sample2:0.00000,(Sample3:10.00000,Sample4:16.00000):16.00000,Sample1:0.00000);	35
window1:107_98_36_78	(Sample2:0.50000,(Sample3:13.50000,Sample4:6.50000):14.50000,Sample1:4.50000);	33
window1:107_96_18_17	(Sample2:1.00000,(Sample3:10.00000,Sample4:8.00000):20.00000,Sample1:0.00000);	34
window1:107_98_80_87	(Sample2:4.00000,(Sample3:3.00000,Sample4:20.00000):12.00000,Sample1:1.00000);	33
window1:107_91_54_8	(Sample2:2.00000,(Sample3:5.00000,Sample4:6.00000):10.00000,Sample1:8.00000);	25
window1:107_98_22_47	(Sample2:2.50000,(Sample3:9.50000,Sample4:8.50000):9.50000,Sample1:2.50000);	26
window1:107_97_43_1	(Sample2:2.00000,(Sample3:8.00000,Sample4:11.00000):16.00000,Sample1:2.00000);	33
window1:107_92_15_49	(Sample2:0.00000,(Sample3:10.00000,Sample4:13.00000):11.00000,Sample1:0.00000);	28
window1:107_96_12_61	(Sample2:0.50000,(Sample3:13.50000,Sample4:4.50000):17.50000,Sample1:0.50000);	31
window1:107_96_38_59	(Sample2:0.50000,(Sample3:16.50000,Sample4:3.50000):8.50000,Sample1:0.50000);	24
window1:107_93_82_11	(Sample2:0.00000,(Sample3:7.00000,Sample4:5.00000):18.00000,Sample1:0.00000);	27
window1:107_97_21_87	(Sample2:0.50000,(Sample3:3.50000,Sample4:16.50000):11.50000,Sample1:3.50000);	29
window1:107_95_3_76	(Sample2:4.50000,(Sample3:5.50000,Sample4:4.50000):20.50000,Sample1:0.50000);	31
window1:107_92_15_4	(Sample2:0.00000,(Sample3:8.00000,Sample4:19.00000):13.00000,Sample1:0.00000);	33
window1:107_98_21_49	(Sample2:3.50000,(Sample3:8.50000,Sample4:11.50000):9.50000,Sample1:1.50000);	28
window1:107_95_54_62	(Sample2:1.50000,(Sample3:3.50000,Sample4:2.50000):16.50000,Sample1:3.50000);	24
window1:107_98_55_11	(Sample2:0.00000,(Sample3:11.00000,Sample4:2.00000):16.00000,Sample1:5.00000);	29
window1:107_97_36_71	(Sample2:2.00000,(Sample3:14.00000,Sample4:8.00000):14.00000,Sample1:2.00000);	33
window1:107_94_15_49	(Sample2:0.00000,(Sample3:10.00000,Sample4:13.00000):11.00000,Sample1:0.00000);	28
window1:107_93_82_62	(Sample2:0.00000,(Sample3:8.00000,Sample4:6.00000):17.00000,Sample1:0.00000);	27
window1:107_95_41_23	(Sample2:0.00000,(Sample3:7.00000,Sample4:6.00000):21.00000,Sample1:5.00000);	34
window1:107_92_43_90	(Sample2:0.00000,(Sample3:12.00000,Sample4:10.00000):12.00000,Sample1:0.00000);	28
window1:107_94_46_86	(Sample2:0.00000,(Sample3:9.00000,Sample4:12.00000):7.00000,Sample1:0.00000);	22
window1:107_92_33_57	(Sample2:0.00000,(Sample3:18.00000,Sample4:9.00000):15.00000,Sample1:0.00000);	35
window1:107_95_12_72	(Sample2:2.50000,(Sample3:14.50000,Sample4:6.50000):11.50000,Sample1:2.50000);	31
window1:107_97_54_58	(Sample2:4.00000,(Sample3:10.00000,Sample4:5.00000):13.00000,Sample1:0.00000);	27
